strain	galbut	day	replicate	number_alive	number_valid_flies
25192	TRUE	57	3	2	10
25192	TRUE	57	4	1	7
25192	TRUE	57	5	2	10
25192	TRUE	58	1	2	10
25192	TRUE	58	2	1	10
25192	TRUE	58	3	2	10
25192	TRUE	58	4	1	7
25192	TRUE	58	5	2	10
25192	TRUE	59	1	2	10
25192	TRUE	59	2	1	10
25192	TRUE	59	3	2	10
25192	TRUE	59	4	1	7
25192	TRUE	59	5	2	10
25192	TRUE	60	1	0	10
25192	TRUE	60	2	0	10
25192	TRUE	60	3	1	10
25192	TRUE	60	4	1	7
25192	TRUE	60	5	2	10
25192	TRUE	61	1	0	10
25192	TRUE	61	2	0	10
25192	TRUE	61	3	1	10
25192	TRUE	61	4	1	7
25192	TRUE	61	5	2	10
25192	TRUE	62	1	0	10
25192	TRUE	62	2	0	10
25192	TRUE	62	3	1	10
25192	TRUE	62	4	1	7
25192	TRUE	62	5	2	10
25192	TRUE	63	1	0	10
25192	TRUE	63	2	0	10
25192	TRUE	63	3	1	10
25192	TRUE	63	4	1	7
25192	TRUE	63	5	2	10
25192	TRUE	64	1	0	10
25192	TRUE	64	2	0	10
25192	TRUE	64	3	1	10
25192	TRUE	64	4	0	7
25192	TRUE	64	5	2	10
25192	TRUE	65	1	0	10
25192	TRUE	65	2	0	10
25192	TRUE	65	3	1	10
25192	TRUE	65	4	0	7
25192	TRUE	65	5	2	10
25192	TRUE	66	1	0	10
25192	TRUE	66	2	0	10
25192	TRUE	66	3	1	10
25192	TRUE	66	4	0	7
25192	TRUE	66	5	2	10
25192	TRUE	67	1	0	10
25192	TRUE	67	2	0	10
25192	TRUE	67	3	1	10
25192	TRUE	67	4	0	7
25192	TRUE	67	5	2	10
25192	TRUE	68	1	0	10
25192	TRUE	68	2	0	10
25192	TRUE	68	3	1	10
25192	TRUE	68	4	0	7
25192	TRUE	68	5	1	10
25192	TRUE	69	1	0	10
25192	TRUE	69	2	0	10
25192	TRUE	69	3	1	10
25192	TRUE	69	4	0	7
25192	TRUE	69	5	1	10
25192	TRUE	70	1	0	10
25192	TRUE	70	2	0	10
25192	TRUE	70	3	1	10
25192	TRUE	70	4	0	7
25192	TRUE	70	5	1	10
25192	TRUE	71	1	0	10
25192	TRUE	71	2	0	10
25192	TRUE	71	3	1	10
25192	TRUE	71	4	0	7
25192	TRUE	71	5	1	10
25192	TRUE	72	1	0	10
25192	TRUE	72	2	0	10
25192	TRUE	72	3	0	10
25192	TRUE	72	4	0	7
25192	TRUE	72	5	0	10
25192	TRUE	73	1	0	10
25192	TRUE	73	2	0	10
25192	TRUE	73	3	0	10
25192	TRUE	73	4	0	7
